"time","measured_M0","reference_M0","command_M0","measured_M1","reference_M1","command_M1","measured_M2","reference_M2","command_M2","measured_M3","reference_M3","command_M3","measured_M4","reference_M4","command_M4","measured_M5","reference_M5","command_M5","measured_M6","reference_M6","command_M6","angle_0","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","JR3_FX","JR3_FY","JR3_FZ","JR3_MX","JR3_MY","JR3_MZ","map_creation_id","unix_time_seconds"
5.7885,3.52069393,3.558625,1.02172763,7.56872237,7.560287,1.98345045,1.31044991,1.365568,0.3445126,3.29718761,3.285787,0.94543013,0.68724347,0.724168,0.4817426,9.53512347,9.533633,1.9709008,5.78255877,5.80983,1.2463401,57.0654,99.5436,-23.22,45.0324,16.56,84.9204,83.3598,-2.67805757502293,0.572122369537332,-4.08407306677649,0.0510807816608843,0.100830924752526,0.0118439950398247,1512347428280.14,1512396245
6.5895,6.51531112,6.538056,1.66817847,2.54014934,2.525238,0.56067476,8.45191147,8.445158,1.88561355,4.03310848,4.047599,1.12704894,4.83227636,4.811076,1.39654125,6.19784116,6.185588,1.00925813,3.88052589,3.919871,0.63111019,75.5676,83.6604,-72.3114,61.6482,53.1522,79.02,80.1,-2.00096417623293,0.537336526557332,-4.69460382163649,0.0337667738397731,0.0908511470600935,0.0133208590898247,1512347428282.74,1512396246
7.3905,3.88097417,3.88418,0.81492332,4.50622136,4.513471,1.2593216,8.05390871,8.06588,1.68564008,1.54898009,1.537602,0.25854746,0.42781894,0.414823,0.11765065,9.92171933,9.923113,2.09047793,9.18579855,9.183829,1.91645461,70.02,89.82,-72.36,46.08,27.18,89.8578,104.706,-3.38931480220293,0.559271000997332,-4.94753755520649,0.0370286610141267,0.123009831404367,0.0135419167498247,1512347428279.09,1512396246
8.1915,8.51413221,8.577207,2.21045393,0.72225579,0.715856,0.14506885,3.89848403,3.911033,0.68784114,1.73036279,1.851015,0.50703357,2.95994692,2.958156,0.97151487,2.86902976,2.873384,0.36180259,0.68012822,0.295045,0,82.6182,58.815,-59.4,45.36,40.5468,62.0226,45.0882,-0.515342533782931,0.198223970367332,-2.03272002166649,0.00299445308694946,0.0334274220882715,0.00531289416982473,1512347428281.45,1512396247
8.9915,3.16109143,3.152,0.64449903,3.659053,3.659349,1.08210563,8.1967786,8.205784,1.82732699,5.61416404,5.628819,1.4677801,1.22969705,1.194683,0.2696336,1.09450723,0.947369,0,6.19727676,6.215943,1.33933901,68.3694,80.82,-73.449,69.8256,36.72,41.8554,91.1682,-0.937772260712931,0.283225268497332,-2.77679529078649,-0.00143305769317335,0.0470817101977223,0.0100460489498247,1512347428282.36,1512396248
9.7925,5.71941951,5.671122,1.47720583,9.88829952,9.911307,2.58166587,3.13173013,3.122097,0.51463535,0.71321976,0.72231,0.07899839,2.92098248,2.923825,0.98171975,3.67361867,3.664642,0.76885678,8.51289832,8.515973,1.79326341,77.8824,114.8454,-59.94,43.2468,42.66,57.5586,106.1082,-1.59748432305293,0.431239081737332,-2.52682601633649,0.0262476122122523,0.0600573035736927,0.0119981577098247,1512347428279,1512396249
10.5935,8.8723796,8.877655,2.20436255,1.27521344,1.283235,0.27409712,7.1162755,7.126541,1.61018086,5.4889129,5.454086,1.42861032,5.1303266,5.133586,1.48837337,5.84061,5.835164,1.20528271,3.39160608,3.390259,0.51020702,90.18,75.3336,-72.1044,72.3204,58.5198,72.1944,86.4864,-1.27204186736293,0.544132327847332,-4.17004207682649,0.0342496316694407,0.0686717122672963,0.0137202718398247,1512347428282.16,1512396250
11.3935,5.65470452,5.648099,1.26732583,4.05050557,4.042595,1.15678534,1.16193292,1.163632,0.11698848,3.90096791,3.908084,0.77145115,3.99504763,3.998442,0.92541326,9.97818967,9.985089,2.13492287,7.42607062,7.406827,1.56603406,84.06,87.84,-45.819,66.6486,56.52,91.1016,101.1438,-2.26419377253293,0.865793560177332,-5.20523528524649,0.0782468807283659,0.0986674244607215,0.0187374853698247,1512347428279.22,1512396250
12.1945,9.43312912,9.435181,2.32566507,3.98341876,3.992414,1.16207789,8.7416042,8.747275,1.98571616,9.52766941,9.560145,2.36929811,3.06486883,3.055227,0.70089311,1.50888628,1.515785,0.06758171,9.71323136,9.722518,2.07508268,96.5268,93.3984,-80.9316,95.4756,55.602,49.77,115.1172,-1.35370260814293,0.654952092677332,-4.25534767267649,0.0309048240176659,0.0703599499991531,0.0191899770598247,1512347428281.12,1512396251
12.9955,5.62658239,5.609839,1.20632817,4.09940894,4.109192,0.95056892,4.36605815,4.388301,0.7427172,6.63356603,6.674067,1.41272278,2.8127854,2.798266,0.62665761,5.94937182,5.963094,1.23281357,4.92341952,4.941202,0.81933282,87.12,93.42,-69.7392,88.02,52.92,74.061,100.62,-1.35964242452293,0.568460912227332,-4.33001803643649,0.0317827452027679,0.0711705178137459,0.0152849087298247,1512347428279.34,1512396252
13.7957,2.08838259,2.119145,0.43511307,4.98463831,4.900025,1.29243329,2.49124381,2.504023,0.3808668,3.53086166,3.554763,0.66389365,3.39036363,3.477285,1.0570092,1.15041286,0.354841,0,8.2628477,8.282055,1.74786165,63.9738,93.78,-57.6198,73.2636,51.9156,42.8436,110.0754,-0.766060236522931,0.515072754907332,-2.91771486482649,0.0297081243067471,0.0405668810964659,0.0140690458898247,1512347428281.84,1512396253
14.5975,8.49199585,8.485879,2.11706848,9.11307417,9.118894,2.40204357,4.05219619,4.046401,0.96834032,3.56869681,3.54144,0.99823548,9.8577951,9.871037,2.6810273,1.18598908,1.067639,0,3.49991611,3.493923,0.53467496,93.2202,115.6554,-65.7,76.806,85.716,42.48,96.1074,0.181151381467069,0.652784128517332,-2.97764649884649,0.0464882456950355,0.0253845506184815,0.0173223625798247,1512347428281.48,1512396254
15.3975,4.85373054,4.81999,1.07310359,7.85818953,7.865275,1.90433275,6.09653448,6.077708,1.38171166,5.99850094,5.966324,1.51784004,6.84069924,6.843169,1.65777565,9.30438582,9.290931,1.96266291,0.74744081,0.489502,0,85.5,114.84,-73.98,86.58,83.7,88.9596,57.0294,-0.514302461242931,0.520266938557332,-4.70805756037649,0.0361560046310531,0.0590591834447891,0.0127048782798247,1512347428278.95,1512396254
16.1985,4.80268155,4.929932,1.30844038,9.30281464,9.254013,2.40572428,4.22917409,4.208728,0.71737477,5.60027236,5.619093,1.20583362,3.29391236,3.318546,0.7827483,1.16588567,0.894423,0,9.78133457,9.7662,2.06882184,84.24,117.6354,-69.84,84.6,67.5,43.6626,118.5912,-0.977934715202931,0.603352018227332,-3.51504834715649,0.0338185260094079,0.0546606182326467,0.0178153322098247,1512347428279.87,1512396255
16.9995,4.08889758,4.096628,0.88596107,7.84045786,7.844642,1.89065572,2.70210399,2.703895,0.41863407,6.27385019,6.275124,1.5873506,3.33818506,3.340471,0.78981406,3.65712931,3.660039,0.76626528,6.40824979,6.422251,1.12116226,81.0684,115.74,-63.5184,85.5,66.78,58.0662,113.22,-0.984990422492931,0.641765500137332,-3.73397805305649,0.0412620190323483,0.0563186210843391,0.0177607703398247,1512347428282.33,1512396256
17.79898,1.06593227,1.1338,0.24096812,6.64746476,6.630675,1.50223281,1.78965686,1.790935,0.24108722,0.61236384,0.627673,0.02737463,3.15431776,3.164046,0.7221361,5.71355181,5.712019,1.16936755,9.53252629,9.537896,2.00226034,54.18,108.54,-51.9246,49.302,61.794,71.5968,117.9,-1.81691718843293,0.677503342547332,-3.63651884075649,0.0567136174189087,0.0708909735567255,0.0161242344798247,1512347428282.06,1512396257
