"","time","measured_M0","reference_M0","command_M0","measured_M1","reference_M1","command_M1","measured_M2","reference_M2","command_M2","measured_M3","reference_M3","command_M3","measured_M4","reference_M4","command_M4","measured_M5","reference_M5","command_M5","measured_M6","reference_M6","command_M6","angle_0","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","JR3_FX","JR3_FY","JR3_FZ","JR3_MX","JR3_MY","JR3_MZ","map_creation_id","unix_time_seconds"
"1",13.9775,4.64750128,3.558625,0.65399534,7.85547879,7.560287,1.75536665,0.02168461,1.365568,0,1.38273161,3.285787,0.58622861,0.14117579,0.724168,0,-0.03071978,9.533633,10,-0.04754795,5.80983,10,104.4072,132.993,83.16,55.6488,-36.72,305346.9474,453462.8922,0.773862022671692,-0.0151783721135821,0.999439863987562,-0.0140603181282756,-0.0308605200824388,0.00150408498925373,1512347428280.14,1512384803.4
"2",14.7785,6.37402262,6.538056,1.58812443,2.46798019,2.525238,0.58108495,8.45145961,8.445158,1.60938864,4.09804939,4.047599,1.09533129,4.48069209,4.811076,1.17874637,-0.02846096,6.185588,10,-0.04799971,3.919871,10,130.932,104.22,-112.32,98.2584,101.178,325867.3308,479202.1164,1.75076796319169,0.121502501926418,-0.705943276472438,-0.0318761064090756,-0.0525825566328388,0.00605970302925373,1512347428282.74,1512384804
"3",15.5795,3.80259341,3.88418,0.73792242,4.54123294,4.513471,1.17342926,8.09908481,8.06588,1.6886014,1.54412367,1.537602,0.23314299,0.58277348,0.414823,0,-0.02484689,9.923113,10,-0.05093618,9.183829,10,119.34,118.1628,-110.34,79.5222,55.0728,346183.1802,505064.3634,0.673235426421692,-0.160705901503582,-0.0709718908224378,-0.0579448301704756,-0.0179372395874388,0.00133065490925373,1512347428279.09,1512384805
"4",16.3805,8.61035747,8.577207,2.01268857,0.69571472,0.715856,0.06251693,3.92355679,3.911033,0.63308824,1.80998578,1.851015,0.43338014,2.75518562,2.958156,0.79809183,-0.03207506,2.873384,10,-0.05443738,0.295045,10,143.7714,71.1126,-94.32,79.38,80.28,368997.5142,530820.9792,1.18631187952169,0.0815387330564179,-0.00571017601243783,-0.0205428127416756,-0.0389573728294388,0.00392176166925373,1512347428281.45,1512384806
"5",17.1805,3.1279998,3.152,0.53196864,3.65272824,3.659349,0.99744143,8.19711728,8.205784,1.83252517,5.62749102,5.628819,1.496335,1.18531141,1.194683,0.14512278,-0.02529862,0.947369,10,-0.05364671,6.215943,10,121.3578,109.4166,-110.8224,107.5194,70.1946,391151.5866,556606.2816,1.12472824345169,-0.0751524701635821,-0.669884035402438,-0.0518294768072756,-0.0300547749480388,0.00307451067925373,1512347428282.36,1512384807
"6",17.9815,5.66712805,5.671122,1.42918951,9.92974866,9.911307,2.45233573,3.13263365,3.122097,0.45674083,0.71547856,0.72231,0.05912646,2.92267653,2.923825,0.84630838,-0.02032924,3.664642,10,-0.04901617,8.515973,10,135.171,152.1162,-93.42,72.5454,81.0576,415437.966,582231.1176,1.19835750443169,-0.0381196460035821,0.498964908067562,-0.0312386175904756,-0.0403452643576388,0.00254440516925373,1512347428279,1512384807.44
"7",18.7825,8.86334423,8.877655,2.08511114,1.28458752,1.283235,0.20738357,7.12666596,7.126541,1.62283061,5.45333656,5.454086,1.45247909,5.12580887,5.133586,1.35042458,-0.02315275,5.835164,10,-0.04619269,3.390259,10,153.4788,95.6502,-109.2438,110.223,102.51,440429.6898,607544.0118,1.89766302478169,0.150741277006418,-0.723146370152438,-0.0239724346406756,-0.0576428390546388,0.00616703447925373,1512347428282.16,1512384808
"8",19.5835,5.65007398,5.648099,1.08498567,4.06699483,4.042595,1.06791196,1.16520823,1.163632,0.06657021,3.91079379,3.908084,0.77255614,3.99256284,3.998442,0.78196437,-0.02089397,9.985089,10,-0.0446115,7.406827,10,144.18,115.38,-73.3662,102.78,99,465495.129,633068.928,1.87172229728169,0.190557597636418,-0.222332902992438,-0.00415486301327562,-0.0616357219346388,0.00543498023925373,1512347428279.22,1512384809
"9",20.3835,9.49750512,9.435181,2.29956881,3.98556456,3.992414,1.09168849,8.76701572,8.747275,1.90376077,9.53851163,9.560145,2.45382869,3.05120297,3.055227,0.57361214,-0.02473395,1.515785,10,-0.06064909,9.722518,10,163.2924,123.8706,-118.5192,138.4074,98.1,490589.5374,658619.3934,2.00127872353169,0.0859185245364179,-1.02343841470244,-0.0452838047212756,-0.0556704027296388,0.00695109827925373,1512347428281.12,1512384810
"10",21.1845,5.61054476,5.609839,1.06882709,4.12990276,4.109192,0.88278228,4.38650035,4.388301,0.72017296,6.65773525,6.674067,1.40292569,2.79211719,2.798266,0.49675365,-0.02507279,5.963094,10,-0.05771262,4.941202,10,150.66,124.02,-105.3,129.78,94.68,515479.8222,684311.742,1.97493294772169,0.0560015264864179,-0.693103600732438,-0.0387167125202756,-0.0592028398734388,0.00531832218925373,1512347428279.34,1512384811
