map_creation_id,M0,M1,M2,M3,M4,M5,M6
1512381557286.797,0,0,0,0,0,0,0
1512381557286.847,2,2,2,2,2,2,2
1512381557286.859,4,4,4,4,4,4,4
1512381557286.868,6,6,6,6,6,6,6
1512381557286.878,8,8,8,8,8,8,8
1512381557286.887,10,10,10,10,10,10,10
1512381557286.896,10,10,10,10,10,10,10
1512381557286.904,8,8,8,8,8,8,8
1512381557286.913,6,6,6,6,6,6,6
1512381557286.921,4,4,4,4,4,4,4
1512381557286.930,2,2,2,2,2,2,2
1512381557286.939,0,0,0,0,0,0,0
1512381557286.948,0,0,0,0,0,0,0
1512381557286.957,0,2,2,2,2,2,2
1512381557286.966,0,4,4,4,4,4,4
1512381557286.975,0,6,6,6,6,6,6
1512381557286.984,0,8,8,8,8,8,8
1512381557286.994,0,10,10,10,10,10,10
1512381557287.004,0,10,10,10,10,10,10
1512381557287.013,0,8,8,8,8,8,8
1512381557287.022,0,6,6,6,6,6,6
1512381557287.032,0,4,4,4,4,4,4
1512381557287.040,0,2,2,2,2,2,2
1512381557287.047,0,0,0,0,0,0,0
1512381557287.057,0,0,0,0,0,0,0
1512381557287.066,2,0,2,2,2,2,2
1512381557287.074,4,0,4,4,4,4,4
1512381557287.083,6,0,6,6,6,6,6
1512381557287.091,8,0,8,8,8,8,8
1512381557287.100,10,0,10,10,10,10,10
1512381557287.109,10,0,10,10,10,10,10
1512381557287.117,8,0,8,8,8,8,8
1512381557287.126,6,0,6,6,6,6,6
1512381557287.135,4,0,4,4,4,4,4
1512381557287.144,2,0,2,2,2,2,2
1512381557287.152,0,0,0,0,0,0,0
1512381557287.161,0,0,0,0,0,0,0
1512381557287.169,0,0,2,2,2,2,2
1512381557287.177,0,0,4,4,4,4,4
1512381557287.186,0,0,6,6,6,6,6
1512381557287.194,0,0,8,8,8,8,8
1512381557287.204,0,0,10,10,10,10,10
1512381557287.213,0,0,10,10,10,10,10
1512381557287.220,0,0,8,8,8,8,8
1512381557287.238,0,0,6,6,6,6,6
1512381557287.246,0,0,4,4,4,4,4
