map_creation_id,M0,M1,M2,M3,M4,M5,M6
1513851964947.401,0.9621082,6.8505945,4.355074,1.199335,1.1754368,0.079828,4.5110787
1513851964948.655,9.3016619,3.6724535,4.074469,2.779067,5.1895129,2.520981,3.2473848
1513851964946.885,9.9010543,6.7407534,7.742043,2.235170,8.3602407,1.484234,0.1123709
1513851964945.771,1.7378656,0.6072861,0.497844,7.886632,9.7261686,2.333579,0.9468352
1513851964946.560,9.6155328,1.1528433,4.760706,9.389525,7.8939433,2.205657,8.9634504
1513851964946.568,2.5273044,1.5874315,1.916450,7.907320,7.5792777,1.135812,3.5344722
1513851964945.457,7.6170240,3.3528533,0.116181,0.931329,9.8836304,5.938844,3.2503815
1513851964947.401,0.9621082,6.8505945,4.355074,1.199335,1.1754368,0.079828,4.5110787
1513851964948.503,6.0153638,1.2600458,0.741541,5.069623,5.3957367,5.542673,8.3950201
1513851964947.857,9.1536073,7.9165115,2.611793,5.157688,3.3799267,9.336784,5.5584753
1513851964947.891,8.5772065,0.7158559,3.911033,1.851015,2.9581556,2.873384,0.2950448
1513851964946.070,3.5358665,2.2734456,7.573333,0.668939,5.4312049,2.992034,7.7403835
1513851964946.410,8.8163541,3.0986657,7.071243,7.734322,5.3076411,1.593427,0.5700836
1513851964945.950,1.3320447,7.9838770,2.024922,0.665130,1.3675654,2.557364,9.3373899
1513851964946.611,7.7999980,6.7915282,8.765047,8.822475,4.5704890,5.833394,7.0177190
1513851964949.416,1.6257149,4.5723486,8.306494,6.135315,9.2522141,3.065613,8.9876667
1513851964949.606,6.7953431,4.4732512,5.420024,8.961785,2.3282580,3.857704,2.3945656
1513851964945.635,2.4217109,1.3617354,2.980389,8.803670,4.5525154,9.413277,0.6539223
1513851964948.272,3.2995983,5.1557108,6.685208,3.968493,4.5086975,9.505258,6.1578759
1513851964949.015,1.1817979,6.9771583,7.614598,0.300665,9.5885267,2.648649,7.5737528
1513851964948.663,2.8464667,1.2290140,9.816036,0.157537,4.1860694,2.033766,3.4960583
1513851964948.280,5.4317635,9.0450220,2.104768,7.211219,1.2885735,9.424076,4.2756147
1513851964946.004,0.4570095,2.5340576,1.602118,1.571502,8.2111971,9.578681,0.9926727
1513851964946.346,2.0060029,7.5254114,0.038829,4.112921,9.4650989,3.693680,4.7818489
1513851964947.908,7.1859073,7.1545506,7.029318,5.178245,8.7324895,0.160414,0.6419884
1513851964947.584,5.7802575,3.5139187,5.467499,7.494385,5.8708991,7.959283,8.3885444
1513851964948.351,3.0330683,0.2031960,5.505648,0.185740,3.1159684,9.755724,2.1297805
1513851964947.698,1.0563427,1.9648399,7.698026,1.465940,1.3976428,9.304992,1.5284944
1513851964946.260,7.9091409,4.4063718,1.971597,4.699221,3.7469440,4.680190,7.1970308
1513851964946.996,0.6116853,6.7781675,0.426539,6.469514,5.8081372,9.292359,2.3407991
1513851964947.157,2.8987470,6.7992837,0.175349,7.304118,6.3088407,1.389784,7.4350464
1513851964948.629,1.0976207,6.6246600,7.493127,7.955649,4.5236567,6.882776,2.9133017
1513851964947.925,8.4858794,9.1188943,4.046401,3.541440,9.8710369,1.067639,3.4939233
1513851964948.603,3.6460705,9.4052090,4.417214,6.023806,2.5259303,7.846570,4.2196847
1513851964948.099,5.2033514,3.8742978,0.489917,7.544170,2.1182890,9.298301,6.8554569
1513851964947.565,9.4351814,3.9924139,8.747275,9.560145,3.0552272,1.515785,9.7225176
1513851964948.156,2.2816235,9.3535588,2.451782,4.652583,1.9105402,8.038628,0.2834878
1513851964949.182,1.1324605,3.1470622,1.335592,9.613514,8.8634788,5.415382,2.2012739
1513851964946.979,3.6082207,8.1984806,2.997830,8.211410,1.5628683,4.545788,6.3582771
1513851964946.004,0.4570095,2.5340576,1.602118,1.571502,8.2111971,9.578681,0.9926727
1513851964947.675,1.9923298,8.8374472,6.024496,1.304038,6.8976103,9.643413,3.5767388
1513851964948.695,6.6006243,1.0510767,9.439014,2.017740,4.6364023,6.941314,2.2918787
1513851964945.668,0.8429131,1.5798089,1.228526,5.646683,6.9747657,2.189525,8.1630473
1513851964948.234,9.5377443,4.0534311,9.341001,4.638932,3.5322488,0.799481,6.5198100
1513851964948.109,2.1925333,8.1744411,6.335292,8.300137,4.7278292,1.023365,5.1130779
1513851964947.040,0.4215812,2.9536949,2.113182,3.606039,0.0052963,9.407362,7.7745997
1513851964946.662,0.7222159,4.8969551,1.346247,9.989876,5.9529488,2.806444,3.3645785
1513851964946.402,8.1311455,1.0346643,5.596007,1.037205,8.5636690,4.038293,1.2245693
1513851964947.157,2.8987470,6.7992837,0.175349,7.304118,6.3088407,1.389784,7.4350464
1513851964949.497,6.4152333,0.3363056,8.291570,7.213525,9.5239978,4.652056,4.3956849
1513851964945.441,5.8398798,2.8213924,6.165476,8.452197,5.9682832,6.824857,1.1852937
1513851964946.868,4.8123628,4.5718679,2.908284,9.361029,1.0868152,5.104492,8.6805570
1513851964947.170,8.0654119,1.0909959,7.136410,1.410762,5.1179393,2.339867,7.3449154
1513851964947.258,2.7285625,5.4429867,3.886700,2.662293,3.2010945,0.314812,5.3648768
1513851964945.474,9.9661286,3.6003528,5.763970,5.140314,7.1011212,9.590929,5.9976325
1513851964946.364,3.4546447,4.3886472,5.301160,6.522402,3.1748855,1.630250,6.4840772
1513851964947.675,1.9923298,8.8374472,6.024496,1.304038,6.8976103,9.643413,3.5767388
1513851964945.819,9.1371096,2.7781047,7.976877,1.423102,7.7900195,8.552102,2.0566968
1513851964946.152,4.6826480,9.2539882,9.330749,0.646406,0.1279043,2.192756,3.6858139
1513851964948.595,7.0591262,2.6262501,5.690976,5.647693,6.2578534,0.635945,6.6378661
1513851964945.301,0.0894580,4.6943665,5.713549,0.342648,8.9467684,7.730859,5.7619220
1513851964945.692,7.2337493,0.0664240,2.933667,0.681957,5.7197072,3.234908,8.6760529
1513851964949.149,1.5127675,5.3360051,6.097851,6.844597,5.3343443,2.041767,7.3838443
1513851964948.885,4.0966285,7.8446416,2.703895,6.275124,3.3404707,3.660039,6.4222512
1513851964948.793,6.3901218,3.6247457,5.311508,7.265349,5.2653903,4.074361,0.4898604
1513851964945.521,8.4174622,7.8186000,5.192169,3.055077,8.2138293,0.215398,5.4795749
1513851964945.506,8.3080641,4.8516075,1.885510,9.967321,3.5719790,7.575886,0.5477672
1513851964946.929,4.6567890,0.5302343,4.748110,6.140820,3.0467664,3.378926,0.4344256
1513851964948.810,0.0021586,8.8144121,5.710212,9.116776,8.5405719,7.215978,8.4880018
1513851964948.426,9.7131903,9.8937897,7.724716,4.002583,0.4128314,3.201677,5.3115219
1513851964948.620,2.5778248,9.4828707,7.527499,1.416636,6.1636999,1.949046,8.8497870
1513851964948.810,0.0021586,8.8144121,5.710212,9.116776,8.5405719,7.215978,8.4880018
1513851964946.037,1.9430355,1.1748314,7.258398,5.260269,4.0487421,2.430111,3.0304791
1513851964946.544,0.3645699,4.6335694,8.821601,6.441447,0.9048899,4.782123,2.6956739
1513851964948.971,4.9665395,2.7199669,7.738918,9.178767,4.4213356,8.860393,2.9358844
1513851964947.123,6.6438396,0.7185264,0.966006,7.555474,2.8533131,4.004496,5.0774769
1513851964945.506,8.3080641,4.8516075,1.885510,9.967321,3.5719790,7.575886,0.5477672
1513851964945.803,0.7123383,7.8838210,8.905230,1.457733,5.0009166,9.679584,5.8072540
1513851964946.603,4.7938509,8.5489624,9.078111,4.163209,5.8130618,9.234358,9.9123527
1513851964948.478,4.7496774,4.5397562,9.081934,4.934508,7.7607481,1.601476,8.0821134
1513851964946.062,2.7233706,3.9393653,0.017240,6.689949,3.7614017,8.577218,2.5629474
1513851964946.112,7.0128914,0.0074004,9.541871,0.661993,3.6553981,9.558789,9.4008855
1513851964945.794,5.6098388,4.1091923,4.388301,6.674067,2.7982661,5.963094,4.9412019
1513851964947.080,7.4920447,5.3429282,1.246028,7.014129,3.4627008,6.495901,0.4676224
1513851964947.776,3.0279569,4.7619287,0.553487,0.200949,8.0201346,4.300537,6.5791977
1513851964949.157,3.0882108,8.5184113,9.589099,1.843050,6.8019059,7.073324,5.1393321
1513851964946.346,2.0060029,7.5254114,0.038829,4.112921,9.4650989,3.693680,4.7818489
1513851964946.443,0.1281592,4.8129574,8.923739,1.945058,2.1892868,7.877303,2.7345289
1513851964946.053,5.3936881,3.3705887,4.781077,1.627134,9.9449170,7.998536,3.0663096
1513851964947.540,2.7934988,1.8697739,8.505625,5.432783,0.5877277,5.585228,9.5126283
1513851964945.981,9.1696824,0.5909500,2.197875,2.958428,5.5861670,2.196353,0.8182242
1513851964947.966,8.6421120,9.4385544,6.923140,6.900035,1.2939803,6.768862,1.6663100
1513851964948.678,4.7192304,7.1666064,1.101150,1.946184,5.6161703,9.253560,2.8759121
1513851964945.973,5.7202631,9.9409072,5.176469,0.825406,8.4946907,2.006140,4.4057644
1513851964948.703,8.8776548,1.2832346,7.126541,5.454086,5.1335858,5.835164,3.3902591
1513851964946.568,2.5273044,1.5874315,1.916450,7.907320,7.5792777,1.135812,3.5344722
1513851964945.965,7.0916793,1.6462811,2.333837,8.035243,9.1178548,8.180734,2.3904221
1513851964948.343,1.5267780,9.0706532,3.827055,7.543996,6.5202990,5.751708,4.0863957
1513851964947.441,2.7611605,5.7020869,5.120762,0.187922,9.6768511,7.720691,9.4272769
1513851964945.416,4.1560712,6.6927295,6.968299,6.123781,9.5116894,0.526753,7.2853067
1513851964947.250,1.8324350,3.7955444,8.828094,9.196948,7.3126264,3.538456,4.5385655
1513851964945.733,8.0907675,4.1636024,2.249527,5.377085,1.6110402,1.501706,8.9794532
